"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","INCLUDE_PARAMETER","INCLUDE_SYMBOL","INCLUDE_THRESHOLD","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRVetMem2005",10,3,"> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","d431fc87-f222-499f-90cc-d7a26a249ad1",9,2,"> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","d431fc87-f222-499f-90cc-d7a26a249ad1",9,5,"> 3 (1-4)",">",1,4,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L5_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","d431fc87-f222-499f-90cc-d7a26a249ad1",9,4,"> 5 (4-7)",">",4,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","d431fc87-f222-499f-90cc-d7a26a249ad1",9,3,"> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.666666666666667,"Main_VetGlen_L3_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2017",9,2,"> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2017",9,5,"> 3 (1-4)",">",1,4,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L5_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2017",9,4,"> 5 (4-7)",">",4,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2017",9,3,"> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.666666666666667,"Main_VetGlen_L3_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2014",10,2,"> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2014",10,5,"> 3 (1-4)",">",1,4,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L5_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2014",10,4,"> 5 (4-7)",">",4,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2014",10,3,"> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen2005",9,2,"> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_native"
